scalar,RGB_r,RGB_g,RGB_b
0.9608610568,0.9487443115,0.9096708605,0.8666220343
0.9628180039,0.9508333648,0.9116218060,0.8683984708
0.9647749511,0.9529233176,0.9135735318,0.8701755361
0.9667318982,0.9550141688,0.9155260370,0.8719532296
0.9686888454,0.9571059173,0.9174793205,0.8737315505
0.9706457926,0.9591985621,0.9194333816,0.8755104981
0.9726027397,0.9612921021,0.9213882191,0.8772900715
0.9745596869,0.9633865362,0.9233438322,0.8790702701
0.9765166341,0.9654818634,0.9253002200,0.8808510932
0.9784735812,0.9675780826,0.9272573814,0.8826325399
0.9804305284,0.9696751928,0.9292153157,0.8844146095
0.9823874755,0.9717731928,0.9311740217,0.8861973013
0.9843444227,0.9738720817,0.9331334987,0.8879806146
0.9863013699,0.9759718585,0.9350937457,0.8897645486
0.9882583170,0.9780725219,0.9370547617,0.8915491027
0.9902152642,0.9801740711,0.9390165459,0.8933342759
0.9921722114,0.9822765050,0.9409790973,0.8951200677
0.9941291585,0.9843798226,0.9429424150,0.8969064773
0.9960861057,0.9864840227,0.9449064981,0.8986935040
0.9980430528,0.9885891045,0.9468713457,0.9004811471
1.0000000000,0.9906950668,0.9488369569,0.9022694058
