scalar,RGB_r,RGB_g,RGB_b
0.1135029354,0.1511842985,0.1581051025,0.1717446207
0.1154598826,0.1526958325,0.1595523105,0.1731251865
0.1174168297,0.1542095903,0.1610014510,0.1745071657
0.1193737769,0.1557255622,0.1624525163,0.1758905550
0.1213307241,0.1572437386,0.1639054988,0.1772753508
0.1232876712,0.1587641101,0.1653603910,0.1786615497
0.1252446184,0.1602866674,0.1668171852,0.1800491482
0.1272015656,0.1618114012,0.1682758742,0.1814381429
0.1291585127,0.1633383025,0.1697364505,0.1828285301
0.1311154599,0.1648673623,0.1711989068,0.1842203064
0.1330724070,0.1663985717,0.1726632360,0.1856134683
0.1350293542,0.1679319219,0.1741294307,0.1870080120
0.1369863014,0.1694674043,0.1755974840,0.1884039342
0.1389432485,0.1710050103,0.1770673887,0.1898012311
0.1409001957,0.1725447314,0.1785391379,0.1911998992
0.1428571429,0.1740865593,0.1800127246,0.1925999350
0.1448140900,0.1756304857,0.1814881420,0.1940013347
0.1467710372,0.1771765023,0.1829653831,0.1954040948
0.1487279843,0.1787246010,0.1844444414,0.1968082118
0.1506849315,0.1802747739,0.1859253099,0.1982136819
0.1526418787,0.1818270129,0.1874079822,0.1996205016
0.1545988258,0.1833813103,0.1888924516,0.2010286674
0.1565557730,0.1849376582,0.1903787115,0.2024381755
0.1585127202,0.1864960489,0.1918667555,0.2038490224
0.1604696673,0.1880564748,0.1933565772,0.2052612045
0.1624266145,0.1896189284,0.1948481700,0.2066747183
0.1643835616,0.1911834021,0.1963415278,0.2080895602
0.1663405088,0.1927498886,0.1978366443,0.2095057265
0.1682974560,0.1943183806,0.1993335131,0.2109232138
0.1702544031,0.1958888707,0.2008321282,0.2123420184
0.1722113503,0.1974613518,0.2023324833,0.2137621369
0.1741682975,0.1990358167,0.2038345725,0.2151835656
0.1761252446,0.2006122584,0.2053383897,0.2166063011
0.1780821918,0.2021906699,0.2068439288,0.2180303399
0.1800391389,0.2037710442,0.2083511840,0.2194556785
0.1819960861,0.2053533744,0.2098601494,0.2208823132
0.1839530333,0.2069376538,0.2113708191,0.2223102408
0.1859099804,0.2085238756,0.2128831873,0.2237394576
0.1878669276,0.2101120331,0.2143972482,0.2251699603
0.1898238748,0.2117021197,0.2159129962,0.2266017454
0.1917808219,0.2132941287,0.2174304256,0.2280348094
0.1937377691,0.2148880537,0.2189495307,0.2294691489
0.1956947162,0.2164838882,0.2204703060,0.2309047606
0.1976516634,0.2180816257,0.2219927460,0.2323416409
0.1996086106,0.2196812600,0.2235168450,0.2337797866
