# Particle Data Generated with LDPM Mesh Generation Tool
# [n x y z d]
# Note: Node numbers are zero-indexed

# Number of Nodes: 1821
# Number of Aggregates: 1059
255 -8.0086088180542 -49.354454040527344 9.95468807220459 0.0
256 -14.340161323547363 -47.89947509765625 0.0 0.0
257 -2.9072413444519043 -49.915409088134766 0.0 0.0
258 31.520538330078125 38.813087463378906 130.08587646484375 0.0
259 15.203104972839355 47.63261032104492 83.4107437133789 0.0
260 22.470895767211914 44.666080474853516 91.16907501220703 0.0
261 -42.40369415283203 -26.4939022064209 179.0522918701172 0.0
262 -45.45603561401367 -20.826637268066406 170.21531677246094 0.0
263 -42.28884506225586 -26.676837921142578 161.53990173339844 0.0
264 48.78398132324219 -10.960076332092285 46.33207321166992 0.0
265 -18.354808807373047 46.509151458740234 145.4489288330078 0.0
266 -6.182065963745117 49.61634826660156 138.38917541503906 0.0
267 -15.41799259185791 47.5634880065918 131.64678955078125 0.0
268 -4.5845794677734375 49.789371490478516 149.37939453125 0.0
269 -4.733983993530273 49.775390625 124.70856475830078 0.0
270 1.7724473476409912 49.96857452392578 131.822265625 0.0
271 3.665371894836426 49.86547088623047 142.5897979736328 0.0
272 -44.270355224609375 23.24081802368164 100.0 0.0
273 -46.9564094543457 17.17835235595703 107.13636016845703 0.0
274 -36.520599365234375 -34.15034103393555 25.872255325317383 0.0
275 -42.40369415283203 -26.4939022064209 20.947708129882812 0.0
276 -15.407486915588379 -47.56689453125 93.62159729003906 0.0
277 -12.042373657226562 -48.52814865112305 82.74119567871094 0.0
278 -2.8495235443115234 -49.91873550415039 89.71760559082031 0.0
279 -5.8878254890441895 -49.65212631225586 63.179439544677734 0.0
280 -17.74790382385254 -46.744110107421875 63.81906509399414 0.0
281 -43.93522644042969 -23.868305206298828 135.9660186767578 0.0
282 -37.8097038269043 -32.717369079589844 134.85313415527344 0.0
283 -48.170448303222656 -13.401782989501953 132.47630310058594 0.0
284 -44.64556121826172 -22.511638641357422 124.40171813964844 0.0
285 -18.341054916381836 46.51457595825195 54.34800720214844 0.0
286 -15.914953231811523 47.39951705932617 68.13733673095703 0.0
287 -7.682845592498779 49.406211853027344 61.443511962890625 0.0
288 -4.477753162384033 49.799095153808594 50.5283088684082 0.0
289 -5.174095630645752 49.7315673828125 75.30125427246094 0.0
290 1.250367522239685 49.9843635559082 66.87013244628906 0.0
291 21.475095748901367 45.153297424316406 110.75882720947266 0.0
292 14.641914367675781 47.80809783935547 118.70623779296875 0.0
293 -25.77677345275879 -42.843414306640625 53.72079086303711 0.0
294 -26.041296005249023 -42.683143615722656 64.27063751220703 0.0
295 3.7593276500701904 49.85847473144531 57.02113342285156 0.0
296 -13.858643531799316 48.0410041809082 155.09591674804688 0.0
297 4.524693012237549 -49.79484939575195 28.102649688720703 0.0
298 -16.252544403076172 -47.284828186035156 142.74684143066406 0.0
299 -2.975796699523926 -49.91136932373047 145.4892578125 0.0
300 -8.883671760559082 -49.20447540283203 155.09152221679688 0.0
301 -19.001752853393555 -46.24860382080078 153.28384399414062 0.0
302 -9.783564567565918 -49.033477783203125 176.15184020996094 0.0
303 1.5808675289154053 -49.97500228881836 182.14614868164062 0.0
304 -15.808248519897461 -47.435211181640625 183.83946228027344 0.0
305 -6.573431491851807 -49.566017150878906 23.836511611938477 0.0
306 -15.124610900878906 -47.6575927734375 16.950632095336914 0.0
307 1.5808675289154053 -49.97500228881836 17.853857040405273 0.0
308 -13.757241249084473 48.07014083862305 44.80750274658203 0.0
309 -49.2796630859375 8.456632614135742 53.235595703125 0.0
310 -49.3856315612793 7.814044952392578 62.32966995239258 0.0
311 -49.2796630859375 8.456632614135742 146.764404296875 0.0
312 -49.3856315612793 7.814044952392578 137.6703338623047 0.0
313 16.53750991821289 -47.185916900634766 163.6226043701172 0.0
314 5.002408027648926 -49.74913024902344 93.6609878540039 0.0
315 49.06697463989258 -9.614165306091309 110.5154037475586 0.0
316 45.80494689941406 -20.047611236572266 111.22418212890625 0.0
317 -48.089778900146484 13.688437461853027 23.265193939208984 0.0
318 -47.47147750854492 15.699007034301758 13.368037223815918 0.0
319 -49.860870361328125 3.727388620376587 20.13607406616211 0.0
320 -47.47147750854492 15.699007034301758 186.6319580078125 0.0
321 -48.089778900146484 13.688437461853027 176.73480224609375 0.0
322 -49.860870361328125 3.727388620376587 179.86392211914062 0.0
323 -23.68486785888672 -44.034385681152344 80.02413940429688 0.0
324 -16.9771671295166 -47.02952194213867 74.17854309082031 0.0
325 44.82927322387695 22.143537521362305 133.24520874023438 0.0
326 47.183284759521484 16.54501724243164 124.40143585205078 0.0
327 39.29401397705078 30.918933868408203 130.57925415039062 0.0
328 41.90932083129883 27.269189834594727 119.85657501220703 0.0
329 -24.041688919067383 -43.8405876159668 100.66390228271484 0.0
