x,y,z
0.128,-0.008,0.04
0.156,-0.016,0.076
0.168,-0.016,0.084
0.096,-0.004,0.036000000000000004
0.14,-0.008,0.048
0.184,-0.016,0.064
0.096,0.0,0.032
0.112,-0.004,0.036000000000000004
0.136,-0.012,0.06
0.14,-0.012,0.048
0.14,-0.012,0.056
0.128,-0.008,0.048
0.164,-0.012,0.056
0.14,-0.012,0.06
0.1,0.0,0.032
0.152,-0.016,0.076
0.18,-0.02,0.068
0.16,-0.012,0.048
0.2,-0.02,0.064
0.192,-0.02,0.076
0.20400000000000001,-0.02,0.06
0.196,-0.02,0.064
0.2,-0.02,0.06
0.192,-0.02,0.068
0.188,-0.02,0.08
0.192,-0.02,0.07200000000000001
0.184,-0.02,0.088
0.2,-0.02,0.056
0.196,-0.02,0.06
0.188,-0.02,0.07200000000000001
0.188,-0.02,0.084
0.192,-0.02,0.08
0.196,-0.02,0.068
0.184,-0.02,0.092
0.18,-0.02,0.096
0.2,-0.02,0.068
0.196,-0.02,0.07200000000000001
0.20400000000000001,-0.02,0.056
0.196,-0.02,0.052000000000000005
0.188,-0.02,0.096
0.196,-0.02,0.076
0.188,-0.02,0.088
0.184,-0.02,0.1
0.188,-0.02,0.092
0.2,-0.02,0.07200000000000001
0.18,-0.02,0.1
0.196,-0.02,0.08
0.192,-0.02,0.084
0.188,-0.02,0.1
0.184,-0.02,0.096
0.192,-0.02,0.088
0.184,-0.02,0.10400000000000001
0.18,-0.02,0.10400000000000001
0.192,-0.02,0.092
0.20400000000000001,-0.02,0.064
0.064,0.004,0.044
0.096,-0.004,0.06
0.14,-0.012,0.084
0.088,-0.004,0.056
0.08,0.0,0.052000000000000005
0.07200000000000001,0.0,0.048
0.088,0.0,0.056
0.148,-0.016,0.088
0.10400000000000001,-0.004,0.064
0.132,-0.012,0.08
0.116,-0.008,0.07200000000000001
0.124,-0.008,0.076
0.108,-0.008,0.068
0.056,0.008,0.036000000000000004
0.052000000000000005,0.008,0.036000000000000004
0.056,0.004,0.032
0.064,0.004,0.016
0.06,0.004,0.02
0.06,0.004,0.024
0.056,0.004,0.028
0.06,0.004,0.028
0.064,0.004,0.02
0.06,0.004,0.016
0.056,0.004,0.024
0.052000000000000005,0.004,0.032
0.056,0.008,0.024
0.056,0.008,0.028
0.06,0.008,0.02
0.052000000000000005,0.008,0.032
0.056,0.008,0.032
0.06,0.004,0.012
0.06,0.008,0.024
0.06,0.008,0.016
0.056,0.008,0.02
0.052000000000000005,0.008,0.028
0.052000000000000005,0.028,0.032
0.06,0.012,0.016
0.052000000000000005,0.016,0.036000000000000004
0.052000000000000005,0.032,0.032
0.052000000000000005,0.028,0.028
0.06,0.012,0.02
0.056,0.016,0.02
0.052000000000000005,0.02,0.036000000000000004
0.052000000000000005,0.012,0.032
0.056,0.02,0.024
0.056,0.016,0.024
0.052000000000000005,0.02,0.032
0.056,0.012,0.02
0.052000000000000005,0.012,0.028
0.056,0.02,0.028
0.052000000000000005,0.016,0.028
0.052000000000000005,0.032,0.036000000000000004
0.056,0.012,0.028
0.056,0.024,0.024
0.06,0.016,0.02
0.056,0.012,0.024
0.052000000000000005,0.016,0.032
0.052000000000000005,0.012,0.036000000000000004
0.052000000000000005,0.024,0.032
0.056,0.016,0.028
0.056,0.028,0.028
0.06,0.016,0.016
0.052000000000000005,0.02,0.028
0.052000000000000005,0.024,0.028
0.052000000000000005,0.036000000000000004,0.036000000000000004
0.052000000000000005,0.028,0.036000000000000004
0.056,0.024,0.028
0.052000000000000005,0.024,0.036000000000000004
0.056,0.02,0.02
0.052000000000000005,0.036000000000000004,0.032
0.06,0.012,0.012
0.056,0.032,0.028
0.06,0.024,0.016
0.056,0.028,0.024
0.056,0.032,0.024
0.06,0.028,0.016
0.056,0.024,0.02
0.06,0.02,0.016
0.06,0.024,0.012
0.06,0.028,0.02
0.06,0.032,0.016
0.06,0.036000000000000004,0.016
0.056,0.036000000000000004,0.024
0.056,0.036000000000000004,0.028
0.056,0.032,0.02
0.06,0.02,0.012
0.06,0.028,0.012
0.052000000000000005,0.032,0.028
0.06,0.016,0.012
0.06,0.024,0.02
0.056,0.028,0.02
0.056,0.036000000000000004,0.02
0.06,0.036000000000000004,0.012
0.06,0.02,0.02
0.06,0.036000000000000004,0.02
0.06,0.032,0.012
0.052000000000000005,0.036000000000000004,0.028
0.06,0.032,0.02
0.052000000000000005,0.04,0.036000000000000004
0.056,0.04,0.036000000000000004
0.056,0.04,0.04
0.06,0.04,0.04
0.06,0.044,0.04
0.064,0.044,0.04
0.068,0.04,0.012
0.064,0.04,0.012
0.07200000000000001,0.04,0.016
0.068,0.04,0.016
0.07200000000000001,0.044,0.016
0.088,0.048,0.044
0.10400000000000001,0.052000000000000005,0.06
0.092,0.048,0.052000000000000005
0.07200000000000001,0.044,0.032
0.112,0.052000000000000005,0.06
0.108,0.052000000000000005,0.06
0.136,0.056,0.07200000000000001
0.14,0.056,0.08
0.116,0.052000000000000005,0.064
0.08,0.044,0.04
0.16,0.06,0.092
0.14400000000000002,0.06,0.08
0.164,0.064,0.092
0.12,0.052000000000000005,0.068
0.096,0.048,0.052000000000000005
0.076,0.044,0.04
0.068,0.044,0.04
0.084,0.048,0.048
0.148,0.06,0.084
0.1,0.048,0.048
0.136,0.056,0.076
0.084,0.044,0.04
0.132,0.056,0.076
0.116,0.052000000000000005,0.068
0.10400000000000001,0.052000000000000005,0.056
0.10400000000000001,0.048,0.056
0.152,0.06,0.084
0.1,0.048,0.056
0.124,0.056,0.07200000000000001
0.084,0.048,0.044
0.07200000000000001,0.044,0.036000000000000004
0.096,0.048,0.056
0.14400000000000002,0.056,0.076
0.124,0.056,0.068
0.092,0.048,0.048
0.12,0.052000000000000005,0.064
0.1,0.048,0.052000000000000005
0.1,0.048,0.06
0.088,0.048,0.04
0.068,0.044,0.032
0.068,0.044,0.036000000000000004
0.128,0.056,0.07200000000000001
0.17200000000000001,0.064,0.096
0.156,0.06,0.088
0.07200000000000001,0.044,0.04
0.076,0.044,0.036000000000000004
0.076,0.044,0.044
0.152,0.06,0.088
0.084,0.044,0.044
0.088,0.048,0.048
0.128,0.056,0.068
0.08,0.044,0.036000000000000004
0.076,0.044,0.032
0.096,0.048,0.048
0.148,0.06,0.08
0.08,0.044,0.044
0.07200000000000001,0.044,0.044
0.112,0.052000000000000005,0.064
0.132,0.056,0.068
0.092,0.048,0.044
0.08,0.044,0.048
0.108,0.052000000000000005,0.064
0.116,0.052000000000000005,0.06
0.10400000000000001,0.048,0.052000000000000005
0.16,0.06,0.088
0.124,0.056,0.064
0.14,0.056,0.076
0.10400000000000001,0.052000000000000005,0.052000000000000005
0.168,0.064,0.092
0.108,0.052000000000000005,0.056
0.136,0.056,0.08
0.124,0.052000000000000005,0.064
0.132,0.056,0.07200000000000001
0.14400000000000002,0.06,0.084
0.124,0.052000000000000005,0.068
0.168,0.064,0.096
0.17200000000000001,0.064,0.1
0.084,0.048,0.04
0.092,0.048,0.056
0.088,0.048,0.052000000000000005
0.12,0.052000000000000005,0.06
0.14400000000000002,0.056,0.08
0.176,0.064,0.1
0.10400000000000001,0.048,0.06
0.112,0.052000000000000005,0.056
0.07200000000000001,0.044,0.028
0.084,0.044,0.048
0.096,0.048,0.044
0.068,0.044,0.044
0.076,0.044,0.048
0.12,0.052000000000000005,0.07200000000000001
0.084,0.048,0.052000000000000005
0.08,0.048,0.052000000000000005
0.112,0.052000000000000005,0.068
0.10400000000000001,0.052000000000000005,0.064
0.128,0.056,0.076
0.156,0.06,0.092
0.1,0.052000000000000005,0.06
0.096,0.048,0.06
0.148,0.06,0.088
0.08,0.044,0.052000000000000005
0.08,0.048,0.048
0.088,0.048,0.056
0.164,0.064,0.096
0.07200000000000001,0.044,0.048
0.064,0.044,0.044
0.116,0.052000000000000005,0.07200000000000001
0.124,0.056,0.076
0.12,0.056,0.07200000000000001
0.132,0.056,0.08
0.1,0.052000000000000005,0.064
0.14,0.056,0.084
0.14,0.06,0.084
0.192,0.064,0.06
0.188,0.064,0.084
0.188,0.064,0.088
0.18,0.064,0.092
0.184,0.068,0.1
0.184,0.064,0.1
0.184,0.064,0.092
0.18,0.064,0.1
0.188,0.064,0.076
0.18,0.064,0.096
0.184,0.064,0.088
0.192,0.064,0.068
0.192,0.064,0.064
0.192,0.064,0.07200000000000001
0.184,0.064,0.084
0.188,0.064,0.07200000000000001
0.184,0.064,0.096
0.192,0.064,0.076
0.188,0.064,0.08
0.188,0.064,0.092
0.184,0.068,0.096
0.184,0.064,0.10400000000000001
0.184,0.068,0.10400000000000001
0.188,0.068,0.092
0.192,0.064,0.08
0.188,0.064,0.068
0.196,0.064,0.06
0.188,0.068,0.096
0.188,0.068,0.088
0.184,0.064,0.08
0.18,0.064,0.088
0.196,0.064,0.056
0.188,0.068,0.1
0.196,0.064,0.064
0.18,0.064,0.10400000000000001
0.176,0.06,0.048
0.1,0.048,0.028
0.18,0.06,0.048
0.08,0.044,0.024
0.07200000000000001,0.044,0.02
0.10400000000000001,0.048,0.032
0.14400000000000002,0.056,0.04
0.112,0.048,0.032
0.092,0.048,0.024
0.124,0.052000000000000005,0.04
0.112,0.052000000000000005,0.032
0.156,0.056,0.044
0.108,0.048,0.032
0.128,0.052000000000000005,0.036000000000000004
0.08,0.044,0.02
0.136,0.056,0.04
0.076,0.044,0.024
0.124,0.052000000000000005,0.036000000000000004
0.148,0.056,0.044
0.084,0.044,0.024
0.132,0.052000000000000005,0.036000000000000004
0.084,0.044,0.032
0.148,0.056,0.04
0.088,0.044,0.028
0.08,0.044,0.028
0.088,0.044,0.024
0.092,0.044,0.024
0.092,0.048,0.032
0.184,0.064,0.052000000000000005
0.116,0.052000000000000005,0.036000000000000004
0.092,0.048,0.028
0.084,0.044,0.028
0.132,0.052000000000000005,0.04
0.1,0.048,0.036000000000000004
0.112,0.048,0.036000000000000004
0.152,0.056,0.044
0.10400000000000001,0.048,0.028
0.136,0.052000000000000005,0.036000000000000004
0.1,0.048,0.032
0.12,0.052000000000000005,0.04
0.18,0.064,0.048
0.12,0.052000000000000005,0.036000000000000004
0.096,0.048,0.024
0.108,0.048,0.036000000000000004
0.088,0.044,0.032
0.136,0.056,0.036000000000000004
0.108,0.048,0.028
0.10400000000000001,0.048,0.036000000000000004
0.156,0.06,0.044
0.08,0.044,0.032
0.096,0.048,0.028
0.17200000000000001,0.06,0.048
0.128,0.052000000000000005,0.04
0.152,0.056,0.04
0.14,0.056,0.036000000000000004
0.12,0.052000000000000005,0.032
0.076,0.044,0.028
0.16,0.06,0.044
0.116,0.052000000000000005,0.032
0.168,0.06,0.048
0.14,0.056,0.04
0.124,0.052000000000000005,0.032
0.14400000000000002,0.056,0.044
0.096,0.048,0.032
0.164,0.06,0.044
0.112,0.052000000000000005,0.036000000000000004
0.192,0.064,0.052000000000000005
0.07200000000000001,0.044,0.024
0.076,0.044,0.02
0.092,0.044,0.028
0.14,0.056,0.044
0.16,0.06,0.048
0.188,0.064,0.052000000000000005
0.112,0.048,0.028
0.18,0.064,0.052000000000000005
0.1,0.048,0.024
0.164,0.06,0.048
0.128,0.052000000000000005,0.032
0.084,0.044,0.02
0.136,0.052000000000000005,0.04
0.136,0.056,0.044
0.18,0.06,0.052000000000000005
0.088,0.048,0.032
0.116,0.052000000000000005,0.04
0.116,0.048,0.028
0.168,0.06,0.044
0.088,0.048,0.028
0.168,0.06,0.068
0.176,0.064,0.088
0.148,0.056,0.048
0.156,0.06,0.068
0.188,0.064,0.064
